Number of Vehicles	Accident Day	Time	1st Road Class	Road Surface	Lighting Conditions	Weather Conditions	Casualty Class	Sex of Casualty	Age of Casualty	Type of Vehicle	Casualty Severity
2	Monday	2	Unclassified	Dry	Daylight: street lights present	Unknown	Vehicle or pillion passenger	Male	6	Car	Slight
2	Monday	3	Unclassified	Dry	Daylight: street lights present	Unknown	Vehicle or pillion passenger	Female	9	Car	Slight
2	Monday	4	Unclassified	Dry	Daylight: street lights present	Unknown	Vehicle or pillion passenger	Female	10	Car	Slight
1	Monday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Female	26	Goods vehicle 3.5 tonnes mgw and under	Slight
2	Tuesday	2	Motorway	Dry	Daylight: street lights present	Fine with high winds	Driver or rider	Male	31	Car	Slight
2	Tuesday	2	Motorway	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	73	Car	Slight
2	Tuesday	3	A	Wet / Damp	Darkness: street lights present and lit	Unknown	Driver or rider	Male	41	Pedal cycle	Slight
2	Tuesday	3	Unclassified	Wet / Damp	Darkness: street lights present and lit	Other	Driver or rider	Male	24	Motorcycle over 125cc and up to 500cc	Slight
2	Wednesday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	28	Car	Slight
2	Wednesday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	48	Car	Slight
3	Wednesday	2	A	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	47	Car	Slight
1	Wednesday	2	A	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Female	24	Car	Slight
1	Wednesday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Female	86	Car	Serious
3	Wednesday	1	A	Dry	Daylight: street lights present	Unknown	Driver or rider	Female	80	Car	Slight
3	Wednesday	2	A	Dry	Daylight: street lights present	Unknown	Vehicle or pillion passenger	Female	83	Car	Serious
3	Wednesday	4	A	Dry	Daylight: street lights present	Unknown	Driver or rider	Male	42	Car	Slight
2	Wednesday	3	Unclassified	Wet / Damp	Daylight: street lights present	Fine without high winds	Driver or rider	Male	24	Pedal cycle	Serious
1	Wednesday	4	Unclassified	Wet / Damp	Daylight: street lights present	Fine without high winds	Pedestrian	Female	86	Car	Slight
3	Wednesday	3	Motorway	Dry	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Female	41	Car	Slight
2	Wednesday	1	Unclassified	Wet / Damp	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Male	77	Bus or coach (17 or more passenger seats)	Slight
2	Wednesday	1	A	Dry	Daylight: street lights present	Unknown	Driver or rider	Female	32	Car	Slight
3	Tuesday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	36	Taxi/Private hire car	Slight
1	Thursday	1	Unclassified	Wet / Damp	Darkness: street lights present and lit	Raining without high winds	Pedestrian	Male	20	Taxi/Private hire car	Serious
1	Thursday	1	Unclassified	Wet / Damp	Darkness: street lights present and lit	Raining without high winds	Vehicle or pillion passenger	Female	19	Taxi/Private hire car	Slight
2	Wednesday	4	Unclassified	Wet / Damp	Daylight: street lights present	Fine without high winds	Driver or rider	Female	30	Car	Slight
2	Thursday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Male	8	Car	Slight
3	Thursday	2	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Vehicle or pillion passenger	Female	31	Car	Slight
3	Thursday	4	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Vehicle or pillion passenger	Female	23	Car	Slight
1	Friday	2	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Pedestrian	Male	22	Car	Serious
2	Saturday	1	B	Wet / Damp	Darkness: no street lighting	Fine with high winds	Driver or rider	Male	29	Car	Slight
2	Saturday	1	B	Wet / Damp	Darkness: no street lighting	Fine with high winds	Vehicle or pillion passenger	Female	29	Car	Slight
1	Friday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	22	Motorcycle over 50cc and up to 125cc	Serious
1	Friday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Female	52	Motorcycle over 50cc and up to 125cc	Slight
1	Friday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Female	38	Motorcycle over 50cc and up to 125cc	Slight
2	Friday	3	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	50	Car	Slight
2	Friday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	29	Car	Slight
2	Friday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	52	Car	Slight
2	Friday	3	Unclassified	Dry	Darkness: street lights present and lit	Unknown	Driver or rider	Male	24	Pedal cycle	Slight
1	Saturday	3	A	Wet / Damp	Daylight: street lights present	Raining without high winds	Vehicle or pillion passenger	Female	22	Car	Slight
2	Saturday	2	Motorway	Wet / Damp	Daylight: street lights present	Raining without high winds	Driver or rider	Male	70	Car	Slight
2	Saturday	4	A	Wet / Damp	Daylight: street lights present	Raining without high winds	Driver or rider	Female	43	Car	Slight
2	Saturday	3	Unclassified	Wet / Damp	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Male	18	Motorcycle over 125cc and up to 500cc	Serious
2	Saturday	2	A	Dry	Daylight: street lights present	Unknown	Vehicle or pillion passenger	Female	37	Car	Slight
2	Sunday	2	Unclassified	Wet / Damp	Darkness: street lights present and lit	Raining without high winds	Driver or rider	Male	25	Pedal cycle	Serious
2	Saturday	4	A	Dry	Daylight: street lights present	Unknown	Driver or rider	Male	40	Pedal cycle	Slight
1	Sunday	1	A	Dry	Daylight: street lights present	Unknown	Vehicle or pillion passenger	Female	4	Bus or coach (17 or more passenger seats)	Slight
2	Sunday	2	B	Wet / Damp	Darkness: street lights present and lit	Raining with high winds	Driver or rider	Female	69	Car	Slight
2	Sunday	1	B	Wet / Damp	Darkness: street lights present and lit	Raining with high winds	Driver or rider	Male	38	Car	Slight
2	Sunday	4	B	Wet / Damp	Darkness: street lights present and lit	Raining with high winds	Vehicle or pillion passenger	Male	18	Car	Slight
2	Sunday	2	B	Wet / Damp	Darkness: street lights present and lit	Raining with high winds	Vehicle or pillion passenger	Female	2	Car	Slight
2	Sunday	1	Unclassified	Dry	Darkness: street lighting unknown	Unknown	Driver or rider	Female	72	Car	Slight
2	Sunday	3	Unclassified	Dry	Darkness: street lighting unknown	Unknown	Vehicle or pillion passenger	Male	80	Car	Slight
4	Sunday	4	Motorway	Wet / Damp	Darkness: no street lighting	Raining with high winds	Driver or rider	Female	35	Car	Slight
4	Sunday	3	Motorway	Wet / Damp	Darkness: no street lighting	Raining with high winds	Vehicle or pillion passenger	Female	3	Car	Slight
4	Sunday	1	Motorway	Wet / Damp	Darkness: no street lighting	Raining with high winds	Vehicle or pillion passenger	Female	5	Car	Slight
2	Sunday	1	Unclassified	Wet / Damp	Darkness: street lights present and lit	Raining without high winds	Driver or rider	Male	48	Taxi/Private hire car	Slight
2	Monday	4	Unclassified	Wet / Damp	Daylight: street lights present	Raining with high winds	Driver or rider	Male	25	Motorcycle over 50cc and up to 125cc	Slight
2	Monday	3	A	Wet / Damp	Daylight: street lights present	Raining without high winds	Driver or rider	Male	24	Car	Slight
1	Saturday	3	Unclassified	Dry	Darkness: street lights present and lit	Unknown	Pedestrian	Female	46	Taxi/Private hire car	Slight
2	Monday	2	Unclassified	Wet / Damp	Daylight: street lights present	Raining without high winds	Driver or rider	Male	29	Pedal cycle	Slight
2	Monday	4	Unclassified	Wet / Damp	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Male	46	Car	Slight
3	Monday	2	Unclassified	Wet / Damp	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Male	36	Taxi/Private hire car	Serious
3	Monday	1	Unclassified	Wet / Damp	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Female	22	Car	Slight
2	Monday	3	A	Wet / Damp	Darkness: street lights present and lit	Raining with high winds	Driver or rider	Female	23	Pedal cycle	Slight
2	Tuesday	1	Unclassified	Wet / Damp	Daylight: street lights present	Raining without high winds	Driver or rider	Male	20	Motorcycle over 50cc and up to 125cc	Slight
5	Tuesday	3	A	Wet / Damp	Daylight: street lights present	Fine without high winds	Driver or rider	Male	40	Car	Slight
2	Tuesday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	20	Car	Serious
1	Tuesday	1	Unclassified	Dry	Daylight: street lights present	Unknown	Pedestrian	Female	70	Car	Slight
2	Tuesday	1	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	20	Motorcycle over 50cc and up to 125cc	Slight
2	Tuesday	4	A	Dry	Darkness: street lights present and lit	Unknown	Driver or rider	Female	71	Car	Slight
2	Tuesday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	44	Car	Slight
2	Tuesday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	14	Pedal cycle	Slight
2	Tuesday	2	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	32	Car	Slight
2	Tuesday	2	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	42	Car	Slight
1	Wednesday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Female	41	Car	Slight
2	Wednesday	1	A	Dry	Daylight: street lights present	Unknown	Driver or rider	Male	25	Pedal cycle	Slight
2	Wednesday	3	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	40	Motorcycle over 50cc and up to 125cc	Serious
1	Wednesday	2	A	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Male	77	Bus or coach (17 or more passenger seats)	Slight
2	Wednesday	1	A	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	73	Car	Slight
3	Wednesday	2	A	Dry	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Female	65	Car	Slight
3	Wednesday	4	A	Dry	Darkness: street lights present and lit	Fine without high winds	Vehicle or pillion passenger	Female	7	Car	Slight
3	Wednesday	2	A	Dry	Darkness: street lights present and lit	Fine without high winds	Vehicle or pillion passenger	Female	16	Car	Slight
3	Wednesday	2	A	Dry	Darkness: street lights present and lit	Fine without high winds	Vehicle or pillion passenger	Female	15	Car	Slight
3	Wednesday	1	A	Dry	Darkness: street lights present and lit	Fine without high winds	Vehicle or pillion passenger	Female	15	Car	Slight
2	Wednesday	4	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Female	30	Car	Slight
2	Wednesday	3	A	Dry	Darkness: street lights present and lit	Unknown	Driver or rider	Male	30	Car	Slight
2	Wednesday	4	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Male	31	Car	Slight
2	Thursday	2	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	43	Car	Slight
2	Thursday	1	A	Wet / Damp	Daylight: street lights present	Fine without high winds	Driver or rider	Female	39	Car	Slight
3	Thursday	4	Motorway	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	20	Car	Slight
2	Thursday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	22	Car	Slight
2	Thursday	1	A	Dry	Daylight: street lights present	Unknown	Driver or rider	Male	30	Pedal cycle	Slight
2	Thursday	3	A	Dry	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Male	19	Car	Slight
2	Friday	4	Unclassified	Wet / Damp	Daylight: street lights present	Fine without high winds	Driver or rider	Male	28	Car	Slight
2	Friday	2	Motorway	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	16	Car	Slight
1	Friday	1	Unclassified	Wet / Damp	Daylight: street lights present	Fine without high winds	Pedestrian	Female	10	Car	Slight
1	Friday	3	Motorway	Wet / Damp	Darkness: street lights present and lit	Fine without high winds	Vehicle or pillion passenger	Female	23	Car	Slight
2	Friday	4	Motorway	Wet / Damp	Darkness: street lights present and lit	Fine without high winds	Vehicle or pillion passenger	Female	48	Car	Slight
2	Friday	2	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Male	51	Pedal cycle	Slight
1	Saturday	4	Unclassified	Wet / Damp	Darkness: street lights present and lit	Fine without high winds	Pedestrian	Female	30	Car	Slight
3	Saturday	2	A	Dry	Daylight: street lights present	Unknown	Driver or rider	Female	64	Car	Slight
3	Saturday	4	A	Dry	Daylight: street lights present	Unknown	Driver or rider	Female	51	Car	Slight
3	Saturday	3	A	Dry	Daylight: street lights present	Unknown	Driver or rider	Female	38	Car	Slight
3	Saturday	4	A	Dry	Daylight: street lights present	Unknown	Vehicle or pillion passenger	Female	53	Car	Slight
2	Friday	3	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	26	Pedal cycle	Slight
1	Saturday	2	Motorway	Wet / Damp	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	44	Car	Slight
2	Saturday	4	B	Dry	Darkness: street lights present and lit	Unknown	Driver or rider	Female	22	Car	Slight
2	Saturday	3	B	Dry	Darkness: street lights present and lit	Unknown	Vehicle or pillion passenger	Male	20	Car	Slight
2	Sunday	3	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	62	Pedal cycle	Serious
2	Sunday	2	B	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	32	Car	Slight
2	Sunday	3	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	29	Pedal cycle	Slight
3	Monday	2	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	28	Car	Slight
3	Monday	1	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	51	Car	Slight
1	Monday	2	Unclassified	Frost / Ice	Daylight: street lights present	Fine without high winds	Pedestrian	Male	9	Car	Serious
2	Monday	3	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	59	Pedal cycle	Slight
1	Monday	1	Unclassified	Frost / Ice	Darkness: no street lighting	Raining without high winds	Driver or rider	Female	22	Car	Slight
3	Monday	1	A	Dry	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Male	67	Taxi/Private hire car	Serious
3	Tuesday	2	A	Frost / Ice	Daylight: street lights present	Fine without high winds	Driver or rider	Female	25	Car	Slight
5	Tuesday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	20	Car	Slight
2	Tuesday	1	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	53	Pedal cycle	Slight
2	Tuesday	2	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	45	Car	Slight
2	Tuesday	4	Unclassified	Wet / Damp	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Female	46	Mobility Scooter	Slight
1	Tuesday	3	A	Wet / Damp	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Male	26	Car	Slight
1	Wednesday	4	Unclassified	Wet / Damp	Daylight: street lights present	Unknown	Pedestrian	Female	15	Car	Slight
2	Tuesday	4	Unclassified	Dry	Daylight: street lights present	Unknown	Driver or rider	Male	26	Pedal cycle	Slight
1	Wednesday	3	Unclassified	Wet / Damp	Darkness: street lights present and lit	Unknown	Pedestrian	Male	17	Goods vehicle 3.5 tonnes mgw and under	Slight
4	Wednesday	4	Unclassified	Wet / Damp	Darkness: street lights present and lit	Raining without high winds	Vehicle or pillion passenger	Female	49	Car	Slight
1	Thursday	3	Unclassified	Frost / Ice	Daylight: street lights present	Raining without high winds	Vehicle or pillion passenger	Female	18	Car	Slight
2	Wednesday	3	Unclassified	Dry	Darkness: street lights present and lit	Unknown	Driver or rider	Male	27	Car	Slight
1	Thursday	4	Unclassified	Frost / Ice	Daylight: street lights present	Fine without high winds	Driver or rider	Male	35	Car	Slight
2	Thursday	4	Motorway	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Male	59	Car	Slight
2	Thursday	3	Unclassified	Dry	Daylight: street lights present	Unknown	Vehicle or pillion passenger	Female	45	Car	Slight
2	Thursday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	63	Pedal cycle	Slight
