Number of Vehicles	Accident Day	Time	1st Road Class	Road Surface	Lighting Conditions	Weather Conditions	Casualty Class	Sex of Casualty	Age of Casualty	Type of Vehicle	Casualty Severity
1	Monday	1	B	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Female	27	Car	Slight
2	Monday	3	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	63	Car	Slight
2	Monday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Male	20	Car	Slight
2	Monday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	66	Car	Slight
1	Tuesday	1	Unclassified	Wet / Damp	Daylight: street lights present	Raining without high winds	Pedestrian	Male	28	Car	Slight
1	Tuesday	1	Unclassified	Dry	Daylight: street lights present	Unknown	Pedestrian	Male	21	Car	Slight
2	Tuesday	3	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Female	59	Car	Slight
1	Tuesday	2	Unclassified	Wet / Damp	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	46	Bus or coach (17 or more passenger seats)	Slight
2	Tuesday	3	Unclassified	Dry	Daylight: street lights present	Unknown	Vehicle or pillion passenger	Female	19	Car	Slight
2	Tuesday	1	Unclassified	Dry	Daylight: street lights present	Unknown	Vehicle or pillion passenger	Male	19	Car	Slight
2	Tuesday	3	Unclassified	Dry	Daylight: street lights present	Unknown	Vehicle or pillion passenger	Female	19	Car	Slight
2	Wednesday	2	Unclassified	Dry	Daylight: street lights present	Unknown	Vehicle or pillion passenger	Female	43	Car	Slight
2	Wednesday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	40	Car	Slight
2	Wednesday	2	Motorway	Dry	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Female	28	Car	Slight
2	Thursday	4	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Male	41	Pedal cycle	Serious
2	Thursday	2	Unclassified	Wet / Damp	Daylight: street lights present	Fine without high winds	Driver or rider	Male	50	Pedal cycle	Slight
1	Friday	1	Unclassified	Dry	Darkness: street lights present and lit	Unknown	Pedestrian	Female	14	Car	Slight
2	Thursday	3	A	Wet / Damp	Darkness: street lights present and lit	Raining with high winds	Driver or rider	Male	48	Car	Slight
2	Thursday	1	A	Wet / Damp	Darkness: street lights present and lit	Raining with high winds	Vehicle or pillion passenger	Female	36	Car	Slight
1	Thursday	1	B	Dry	Darkness: street lights present and lit	Unknown	Pedestrian	Female	30	Car	Serious
2	Thursday	3	A	Wet / Damp	Daylight: street lights present	Fine without high winds	Driver or rider	Male	21	Pedal cycle	Slight
2	Thursday	1	Unclassified	Wet / Damp	Darkness: street lights present and lit	Raining without high winds	Driver or rider	Female	43	Pedal cycle	Slight
2	Friday	3	A	Wet / Damp	Daylight: street lights present	Fine without high winds	Driver or rider	Male	60	Car	Slight
1	Thursday	4	Unclassified	Wet / Damp	Darkness: street lights present and lit	Fine without high winds	Pedestrian	Male	20	Taxi/Private hire car	Slight
2	Friday	3	Unclassified	Wet / Damp	Daylight: street lights present	Fine without high winds	Driver or rider	Male	18	M/cycle 50cc and under	Slight
3	Friday	1	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Female	22	Car	Slight
1	Friday	4	Unclassified	Dry	Darkness: street lights present and lit	Unknown	Driver or rider	Male	26	Motorcycle over 50cc and up to 125cc	Slight
2	Thursday	4	B	Dry	Darkness: street lights present and lit	Unknown	Driver or rider	Male	47	Pedal cycle	Slight
1	Friday	2	A	Wet / Damp	Daylight: street lights present	Fine without high winds	Pedestrian	Female	22	Taxi/Private hire car	Slight
2	Friday	4	Unclassified	Wet / Damp	Daylight: street lights present	Raining with high winds	Driver or rider	Female	29	Car	Slight
2	Friday	1	A	Wet / Damp	Daylight: street lights present	Fine with high winds	Driver or rider	Female	38	Car	Slight
1	Wednesday	1	Unclassified	Dry	Daylight: street lights present	Unknown	Pedestrian	Male	26	Car	Slight
2	Friday	2	Unclassified	Dry	Daylight: street lights present	Fine with high winds	Driver or rider	Male	21	Pedal cycle	Slight
