V_count,A_Day,A_Time,Road_Type,Road_Surface,Lighting_Conditions,Weather_Conditions,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Type_of_Vehicle,Casualty_Severity
2,5,3,4,0,4,1,1,1,37,2,1
3,5,2,0,1,4,1,1,0,25,1,1
4,5,1,4,0,4,1,1,1,22,10,0
2,5,4,4,0,4,1,0,1,30,12,0
1,4,4,0,0,3,8,4,0,22,13,1
1,2,4,0,0,4,8,3,1,10,1,1
2,6,2,4,0,4,1,4,1,5,1,1
2,4,2,4,0,4,1,0,0,65,11,0
2,1,2,0,0,2,1,2,1,23,1,0
3,1,1,0,0,4,1,1,1,51,1,1
2,5,4,0,0,4,1,1,0,52,1,1
3,2,3,0,0,4,8,1,0,38,1,1
2,0,2,4,0,4,1,1,1,22,12,0
4,3,1,0,0,4,1,1,0,24,1,1
1,2,3,4,0,1,1,2,1,26,2,0
2,5,3,4,0,4,8,4,0,19,1,1
5,3,1,4,3,4,5,4,0,21,1,1
2,4,4,4,0,3,1,1,1,41,12,0
3,4,1,0,0,4,1,4,0,13,1,1
2,2,4,0,0,4,8,1,1,40,12,1
2,5,1,0,0,4,1,1,1,41,12,0
3,4,1,0,0,4,1,1,0,45,1,1
2,3,1,4,0,3,1,4,0,53,13,1
2,2,2,0,0,4,8,4,0,37,1,1
1,3,2,4,3,4,1,3,1,16,1,0
1,4,3,4,1,4,1,3,1,33,1,1
2,3,1,0,0,3,1,4,0,18,1,1
1,3,4,4,3,1,1,1,1,26,1,1
2,6,2,0,0,4,1,1,1,18,10,0
2,0,2,4,3,4,1,1,1,15,12,1
2,2,1,0,0,4,1,4,0,36,1,1
2,5,2,4,0,4,1,4,1,55,0,1
2,4,3,0,3,4,8,1,1,62,1,1
1,6,2,4,0,4,1,3,1,3,1,0
2,0,4,0,3,4,1,1,1,22,10,1
2,6,2,4,0,4,1,4,0,28,1,1
3,1,3,0,0,4,1,1,0,63,1,1
1,1,1,4,0,4,1,1,1,48,0,1
3,1,4,0,0,2,1,0,1,51,12,0
2,2,1,4,0,3,1,4,1,24,1,1
2,3,2,2,0,4,1,4,0,32,1,1
2,5,1,0,0,4,1,1,1,51,12,1
3,6,1,0,0,3,1,4,0,15,1,1
2,1,4,4,3,3,5,4,0,16,1,1
1,0,4,4,0,4,1,3,1,16,1,1
1,0,3,2,0,4,8,3,0,12,1,1
2,0,1,0,3,2,1,0,1,26,9,0
2,3,4,0,0,4,1,1,0,19,1,1
4,0,1,1,3,1,1,1,0,24,1,1
3,6,1,4,2,4,8,1,1,39,1,1
2,2,2,0,0,4,1,1,1,29,1,1
2,4,3,4,0,4,1,1,1,49,1,0
2,6,4,0,0,4,1,4,1,29,13,1
2,4,1,2,0,4,1,1,1,21,12,1
2,6,1,0,0,2,1,0,1,21,9,0
2,0,4,4,0,4,1,4,0,22,1,1
2,6,3,4,0,4,8,1,0,25,1,1
1,6,4,4,0,4,1,3,0,62,1,1
2,3,4,4,0,4,1,4,1,11,1,0
1,2,2,3,3,4,1,4,0,44,1,1
2,0,2,0,0,4,1,1,1,59,12,0
2,5,3,0,3,3,8,1,1,41,12,1
3,3,2,4,0,4,1,4,1,7,1,1
1,6,1,4,0,4,1,3,0,86,1,0
2,4,4,0,0,4,1,4,0,28,1,1
2,3,4,4,0,4,1,1,1,79,1,1
3,4,2,4,0,3,1,4,0,31,1,1
2,4,2,4,0,4,8,1,1,39,12,1
1,4,4,4,1,4,1,1,1,16,5,1
2,0,1,4,0,2,1,3,0,5,1,0
2,6,4,4,0,4,1,1,1,35,1,0
2,5,2,4,0,4,1,1,1,35,12,1
2,6,4,4,0,4,8,4,0,42,0,1
1,2,1,0,0,3,1,3,1,21,1,0
2,1,3,0,0,4,1,4,0,8,13,1
1,1,1,4,0,4,1,3,0,14,1,0
1,3,1,4,0,2,1,0,1,51,9,0
1,3,4,4,0,2,8,3,1,58,1,1
1,2,4,4,0,3,1,2,0,57,13,0
1,1,1,4,3,4,5,3,1,29,1,0
2,0,3,2,3,3,1,1,1,62,1,1
1,5,2,4,0,3,1,3,0,75,13,0
1,1,4,4,0,4,1,3,0,79,3,0
1,5,1,0,0,4,1,1,1,64,2,1
1,0,4,0,0,3,1,3,1,63,13,0
2,0,2,4,0,3,1,1,1,51,12,1
3,6,4,4,2,4,8,1,0,79,1,1
1,2,1,4,0,4,1,3,1,3,1,1
3,2,4,0,0,4,8,4,0,53,1,1
5,5,3,0,3,4,1,1,1,40,1,1
2,4,4,1,0,4,1,1,0,51,1,1
2,5,4,4,0,4,1,3,0,44,1,0
2,2,4,3,3,3,1,4,0,64,1,0
2,3,1,2,3,3,1,4,1,17,13,1
2,5,1,0,0,4,1,4,0,18,1,1
1,5,2,0,0,4,1,3,1,30,1,0
2,1,1,0,3,4,1,0,0,21,12,0
2,3,4,4,0,4,8,1,1,38,12,0
2,0,3,4,0,4,1,1,0,41,12,1
2,3,2,4,0,4,1,4,0,43,1,1
2,0,4,4,0,4,1,1,1,21,10,1
1,5,3,4,3,3,5,3,0,49,1,0
1,2,4,4,0,4,1,3,0,83,1,0
1,6,2,0,0,4,1,3,0,24,1,1
2,2,2,4,0,3,1,1,1,43,1,1
1,1,3,0,0,4,1,1,1,55,8,1
1,1,3,0,0,4,1,3,0,9,1,0
1,5,1,4,0,4,1,3,1,2,1,0
1,2,4,4,0,3,1,3,1,63,1,1
2,4,4,4,0,2,8,1,1,25,1,1
3,3,4,4,3,4,4,4,0,19,1,1
2,1,2,0,3,3,5,1,0,29,1,1
2,0,4,0,0,3,8,1,0,23,1,1
2,6,3,4,0,4,8,1,1,44,9,0
2,4,3,0,3,3,1,4,0,15,1,1
2,2,3,3,0,4,1,4,0,65,1,1
5,4,2,0,0,4,1,1,0,29,1,1
2,3,2,4,0,4,1,1,0,25,1,1
2,5,2,0,3,4,5,1,1,63,9,1
2,6,2,0,3,3,5,4,1,20,1,1
1,5,1,4,0,4,1,3,0,90,1,0
2,1,4,4,3,4,4,1,1,25,10,1
1,0,1,0,0,4,1,0,1,47,9,0
2,2,3,4,0,4,1,4,0,1,1,1
1,0,2,0,0,4,1,4,0,78,1,0
2,5,1,0,0,4,1,0,1,19,10,0
2,2,1,0,0,4,1,1,1,34,9,0
2,1,3,4,0,4,1,1,0,35,1,1
1,0,2,4,0,4,1,3,1,23,0,0
2,1,4,4,0,4,1,1,1,18,10,0
1,4,2,4,0,4,1,3,0,8,5,0
2,0,3,0,0,1,1,1,0,23,1,0
2,1,3,0,3,4,5,1,1,24,1,1
2,5,2,4,0,4,8,1,1,23,1,0
2,3,2,0,0,4,1,1,1,64,9,0
1,0,3,4,3,3,6,4,1,18,1,1
2,3,2,4,3,4,1,1,1,27,10,0
1,2,2,4,3,4,5,4,0,30,1,1
2,0,2,4,0,4,1,1,1,26,1,1
1,0,4,3,3,4,1,1,0,53,1,0
3,3,2,0,0,4,1,1,1,48,12,1
1,0,1,4,3,4,1,3,0,10,1,1
2,5,2,4,3,4,8,1,1,34,12,0
2,1,1,4,3,3,5,1,1,34,12,1
